"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
54.93	0.0146514	1	0.03629469	0.942901	0.5147366	7.695984e-07	1	0.005602091	0.01141738	0.9506833	0.07778438
54.94	0.01464014	1	0.03628506	0.942903	0.51474	7.676286e-07	1	0.00560044	0.01141452	0.9506839	0.07778111
54.95	0.01462889	1	0.03627543	0.9429051	0.5147434	7.656639e-07	1	0.005598789	0.01141166	0.9506845	0.07777785
54.96	0.01461765	1	0.0362658	0.9429071	0.5147468	7.637042e-07	1	0.00559714	0.0114088	0.9506851	0.07777458
54.97	0.01460642	1	0.03625618	0.9429092	0.5147502	7.617495e-07	1	0.005595491	0.01140594	0.9506857	0.07777132
54.98	0.01459519	1	0.03624656	0.9429112	0.5147537	7.597998e-07	1	0.005593843	0.01140308	0.9506863	0.07776806
54.99	0.01458397	1	0.03623695	0.9429132	0.5147571	7.57855e-07	1	0.005592195	0.01140023	0.9506869	0.07776479
55	0.01457276	1	0.03622734	0.9429153	0.5147605	7.559153e-07	1	0.005590549	0.01139737	0.9506875	0.07776153
55.01	0.01456156	1	0.03621774	0.9429173	0.5147639	7.539805e-07	1	0.005588903	0.01139452	0.9506881	0.07775827
55.02	0.01455037	1	0.03620813	0.9429194	0.5147673	7.520507e-07	1	0.005587258	0.01139166	0.9506886	0.07775501
55.03	0.01453919	1	0.03619854	0.9429214	0.5147707	7.501258e-07	1	0.005585613	0.01138881	0.9506892	0.07775175
55.04	0.01452802	1	0.03618894	0.9429234	0.5147741	7.482059e-07	1	0.00558397	0.01138596	0.9506898	0.07774849
55.05	0.01451685	1	0.03617936	0.9429255	0.5147775	7.462908e-07	1	0.005582327	0.01138312	0.9506904	0.07774523
55.06	0.01450569	1	0.03616977	0.9429275	0.5147809	7.443807e-07	1	0.005580685	0.01138027	0.950691	0.07774197
55.07	0.01449455	1	0.03616019	0.9429295	0.5147843	7.424755e-07	1	0.005579044	0.01137742	0.9506916	0.07773871
55.08	0.01448341	1	0.03615061	0.9429316	0.5147877	7.405751e-07	1	0.005577403	0.01137458	0.9506922	0.07773546
55.09	0.01447228	1	0.03614104	0.9429336	0.5147911	7.386796e-07	1	0.005575764	0.01137173	0.9506928	0.0777322
55.1	0.01446115	1	0.03613147	0.9429357	0.5147945	7.367889e-07	1	0.005574125	0.01136889	0.9506934	0.07772894
55.11	0.01445004	1	0.03612191	0.9429377	0.5147979	7.349031e-07	1	0.005572487	0.01136605	0.950694	0.07772569
55.12	0.01443893	1	0.03611235	0.9429397	0.5148013	7.330221e-07	1	0.005570849	0.01136321	0.9506946	0.07772243
55.13	0.01442784	1	0.03610279	0.9429418	0.5148046	7.311459e-07	1	0.005569212	0.01136037	0.9506952	0.07771918
55.14	0.01441675	1	0.03609324	0.9429438	0.514808	7.292746e-07	1	0.005567577	0.01135753	0.9506958	0.07771593
55.15	0.01440567	1	0.03608369	0.9429458	0.5148114	7.27408e-07	1	0.005565941	0.0113547	0.9506964	0.07771267
55.16	0.0143946	1	0.03607414	0.9429478	0.5148148	7.255462e-07	1	0.005564307	0.01135186	0.950697	0.07770942
55.17	0.01438353	1	0.0360646	0.9429499	0.5148182	7.236891e-07	1	0.005562674	0.01134903	0.9506976	0.07770617
